term,count
covid 19,6052121
coronavirus covid19,825755
coronavirus pandemic,818157
coronavirus outbreak,712270
covid19 coronavirus,643353
coronavirus cases,589641
19 pandemic,552757
via youtube,465892
new york,434749
death toll,402552
new cases,374950
due coronavirus,361812
19 cases,359981
new coronavirus,355724
social distancing,355303
coronavirus covid,348692
coronavirus crisis,342393
stay home,342059
amid coronavirus,334721
novel coronavirus,312643
coronavirus lockdown,282507
coronavirus via,261384
covid19 pandemic,260637
positive coronavirus,249463
bbc news,249456
news coronavirus,247194
tested positive,243286
casos coronavirus,236758
china coronavirus,233153
confirmed cases,232827
corona virus,231832
coronavirus death,230676
19 crisis,227659
public health,224922
spread coronavirus,215716
white house,215255
du coronavirus,215177
href rel,214089
rel nofollow,214086
coronavirus deaths,212726
due covid,210507
il coronavirus,210501
true href,209857
donald trump,209350
coronavirus china,206881
gon na,205599
stay safe,195174
19 patients,190031
fight coronavirus,189162
100 000,181007
nofollow twitter,180522
united states,176390
coronavirus response,173389
coronavirus patients,173296
nuevos casos,172787
coronavirus vaccine,171498
cases coronavirus,171468
live updates,170441
wuhan coronavirus,167255
pandemia coronavirus,162325
gt gt,161568
casos confirmados,161311
south korea,160345
fake news,154134
casos covid,151208
hong kong,151029
president trump,149695
positive covid,149243
covid_19 coronavirus,149155
year old,149092
19 deaths,148932
coronavirus live,148908
boris johnson,147409
crisis coronavirus,144504
covid19 cases,144209
coronavirus covid_19,143752
due covid19,143601
cruise ship,142974
19 via,142679
19 outbreak,139966
many people,138879
tests positive,137606
health care,137477
task force,137052
wuhan china,136080
test positive,135938
coronavirus update,132148
coronavirus fears,129873
fight covid,127398
amid covid,125650
around world,125058
bill gates,124921
new covid,124345
fight covid19,124267
trump coronavirus,122836
coronavirus spread,122373
nursing homes,122345
looks like,120321
19 coronavirus,120298
twitter web,119781
get coronavirus,117283
penyebaran covid,116342
pandemi covid,115785
caso coronavirus,115121
mental health,113482
people died,112981
york times,112092
19 lockdown,111909
fox news,111189
24 horas,110593
covidー19 coronavirus,110524
sign petition,109708
coronavirus testing,109707
